"Run Date","Master BOL","House BOL","Voyage #","Bill Type","Carrier Code","IMO #","Vessel Name","Arrival Date","US Port of Unlading","US Port of Destination","Foreign Port of Lading","Foreign Port of Destination","Place of Receipt",Quantity,"Weight (kg)","Type of Service",Shipper,"Shipper Address",Consignee,"Consignee Address","Notify Party 1","Notify Party 1 Address","Notify Party 2","Notify Party 2 Address",Commodity,"Number of Containers","Marks & Numbers","Container Numbers","Seal Numbers"
2024-09-30,ONEYSELEJ2816500,,003E,"Master Bill",ONEY,9944493,"HMM EMERALD",2024-09-28,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,PUSAN,"42 CTN","17,686","Container Yard","NEW WORLD SHIPPING CO., LTD.","41, CHEONGGYECHEON-RO, JONGNO-GU, S EOUL 03188 KR","USMX TRANSPORT, INC","1455 E. TROPICANA AVE. #275 LAS VEG AS NV 89119 US","USMX TRANSPORT, INC","1455 E. TROPICANA AVE. #275 LAS VEG AS NV 89119 US",,,"BRASS ROD",1,"DAECHANG LLOYDS, INC. LONG BEACH (L.A.)CA P.|NO : B/D NO : FORM : SIZE : NET : LBS GROS|: LBS MADE IN KOREA",TCLU6902248,KRAR23087
2024-09-30,ONEYSELEJ2816500,ONEYSELEJ2816A01,003E,"House Bill",ONEY,9944493,"HMM EMERALD",2024-09-28,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,PUSAN,"42 CTN","17,686","Container Yard","DAECHANG CO., LTD.","1292-4 JEONGWANG-DONG,SIHEUNG-SI, K SIHEUNG 02331 KR","DAECHANG LLOYDS, INC.","4482 BARRANCA PKWY, STE 232 IRVINE, IRVINE CA 92604 US","DAECHANG LLOYDS, INC.","4482 BARRANCA PKWY, STE 232 IRVINE, IRVINE CA 92604 US",,,"BRASS ROD",1,"DAECHANG LLOYDS, INC. LONG BEACH (L.A.)CA P.|NO : B/D NO : FORM : SIZE : NET : LBS GROS|: LBS MADE IN KOREA",TCLU6902248,KRAR23087
2024-09-28,ONEYSELEJ2383400,,237E,"Master FROB",ONEY,9337482,"YM UNIFORM",2024-09-27,"TACOMA, WASHINGTON",,"PUSAN SOUTH KOREA",,PUSAN,"41 CTN","19,418","Container Yard","NEW WORLD SHIPPING CO., LTD.","41, CHEONGGYECHEON-RO, JONGNO-GU, S EOUL 03188 KR","KOREX LOGISTICS CANADA LTD","UNIT 101, 7799 BERG ROAD DELTA BC V 4G 0A5 CA","KOREX LOGISTICS CANADA LTD","UNIT 101, 7799 BERG ROAD DELTA BC V 4G 0A5 CA",,,"BRASS ROD",1,"COLUMBIA TAPING TOOLS LTD. VANCOUVER P.O NO|W/C NO : FORM : SIZE : NET : LBS GROSS : L|S MADE IN KOREA",KKTU7859686,KRAR23028
2024-09-28,ONEYSELEJ2383400,ONEYSELEJ2383A01,237E,"House FROB",ONEY,9337482,"YM UNIFORM",2024-09-27,"TACOMA, WASHINGTON",,"PUSAN SOUTH KOREA",,PUSAN,"41 CTN","19,418","Container Yard","DAECHANG CO., LTD.","1292-4 JEONGWANG-DONG, SIHEUNG-SI.K SIHEUNG 02331 KR","COLUMBIA TAPING TOOLS LTD.","SUITE A- 19169 21ST AVE, SURREY, B. SURREY BC V3Z 3M3 CA","COLUMBIA TAPING TOOLS LTD.","SUITE A- 19169 21ST AVE, SURREY, B. SURREY BC V3Z 3M3 CA",,,"BRASS ROD",1,"COLUMBIA TAPING TOOLS LTD. VANCOUVER P.O NO|W/C NO : FORM : SIZE : NET : LBS GROSS : L|S MADE IN KOREA",KKTU7859686,KRAR23028
2024-09-28,MEDUOE497229,,436N,"Master BOL w/in-bond",MEDU,9320245,"GERD MAERSK",2024-09-27,"LOS ANGELES, CALIFORNIA","CHICAGO, ILLINOIS, INCLUDING O HARE INTERNATIONAL AIRPORT","PUSAN SOUTH KOREA",,HAIPHONG,"44 PKG","40,190","House to House","NINGBO PORT SOUTHEAST LOGISTICS GRO","5F NO.258 SEL BLDG. CHANGLE RD EAST NINGBO 33 CHINA","LACINOS SPEEDCARGO CORP.","9843 KLINGERMAN ST EL MONTE CA CA 91733 UNITED STATES","LACINOS SPEEDCARGO CORP.","9843 KLINGERMAN ST EL MONTE CA CA 91733 UNITED STATES",,,"FREIGHT PREPAID BRASS ROD (1) HS CODE: 7407 21 G. W: 88602.29LBS HBL:YNSEL 2400477 SCAC CODE: NPSC ACI CODE: 8FNQ AS SHIP PER DECLARED: THIS SHIPMEN T CONTAINS NO SOLID WOOD PACKING MATERIAL",2,"US014513 VSM-3238 B VSM-3238A|SAME",MEDU1443670|MEDU2194607,FX33315508|FX33315573
2024-09-28,MEDUOE497229,NPSCYNSEL2400477,436N,"House Bill",NPSC,9320245,"GERD MAERSK",2024-09-27,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,BUSAN,"44 PKG","40,190","House to House","BEDRA HONGKONG ALLOY MATERIAL CO.","ROOM 701B&C, EAST OCEAN CENTRE 98 G RANVILLE ROAD,TSIM SHA TSUI EAST KO WLOON, HONG KONG, CHINA,CN","VERO SPECIALTY METALS LLC","576 VALLEY ROAD, SUITE 205,WAYNE, N J 07470 US,WAYNE, NJ, ,US",,,,,"BRASS ROD (1)",2,"US014513 VSM-3238B VSM-3238A",MEDU1443670|MEDU2194607,FX33315508|FX33315573
2024-09-18,ONEYSELEH8682500,,001E,"Master Bill",ONEY,9955284,"HMM TOPAZ",2024-09-17,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,PUSAN,"32 PKG","18,009","Container Yard","NEW WORLD SHIPPING CO., LTD.","41, CHEONGGYECHEON-RO, JONGNO-GU, S EOUL 03188 KR","USMX TRANSPORT, INC","1455 E. TROPICANA AVE. #275, LAS VE GAS NV 89119 US","USMX TRANSPORT, INC","1455 E. TROPICANA AVE. #275, LAS VE GAS NV 89119 US",,,"BRASS BAR FREE CUTTING BRASS ROD IN EXTRUSIO",1,"P.O MADE IN KOREA SIZE ALLOY NET/GROSS WEIGHT|PKG NO. : 1-32",ONEU3046911,KRAR41248
2024-09-18,ONEYSELEH8682500,ONEYSELEH8682A01,001E,"House Bill",ONEY,9955284,"HMM TOPAZ",2024-09-17,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,PUSAN,"32 PKG","18,009","Container Yard","BOOYOUNG INDUSTRY","9-1, KOJI-RI, JEONGNAM-MYON, HWASONG 02331 KR","DAECHANG LLOYDS,INC.","4482 BARRANCA PKWY STE. 232 IRVINE, IRVINE CA 92604 US","DAECHANG LLOYDS,INC.","4482 BARRANCA PKWY STE. 232 IRVINE, IRVINE CA 92604 US",,,"BRASS BAR FREE CUTTING BRASS ROD IN EXTRUSIO",1,"P.O MADE IN KOREA SIZE ALLOY NET/GROSS WEIGHT|PKG NO. : 1-32",ONEU3046911,KRAR41248
2024-09-18,ONEYSELEJ0573300,,001E,"Master Bill",ONEY,9955284,"HMM TOPAZ",2024-09-17,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,PUSAN,"31 PKG","15,609","Container Yard","NEW WORLD SHIPPING CO., LTD.","41, CHEONGGYECHEON-RO, SEOUL 02331 KR","USMX TRANSPORT, INC","1455 E. TROPICANA LAS VEGAS NV 8911 9 US","USMX TRANSPORT, INC","1455 E. TROPICANA LAS VEGAS NV 8911 9 US",,,"HTS CODE : 74072190 BRASS ROD HTS CODE : 74072190 BRASS BAR",1,"DAECHANG LLOYDS, INC. LONG BEACH(L.A.) CA P.|NO : CE133, CE528, CE976 W/C NO : 1 - 9 FORM|: SIZE : NET : 8,195LBS GROSS : 8,284LBS MADE|IN KOREA|P.OMADE IN KOREASIZE ALLOYNET/GROSS WEIGHTPKG|NO. : 1-22",TGBU3186229,KRAQ63633
2024-09-18,ONEYSELEJ0573300,ONEYSELEJ0573A01,001E,"House Bill",ONEY,9955284,"HMM TOPAZ",2024-09-17,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,PUSAN,"9 CTN","3,757","Container Yard","DAECHANG CO., LTD.","1292-4 JEONGWANG-DONG, SIHEUNG 02331 KR","DAECHANG LLOYDS, INC.","4482 BARRANCA PKWY, STE 232 IRVINE IRVINE CA 92604 US","DAECHANG LLOYDS, INC.","4482 BARRANCA PKWY, STE 232 IRVINE IRVINE CA 92604 US",,,"HTS CODE : 74072190 BRASS ROD",1,"DAECHANG LLOYDS, INC. LONG BEACH(L.A.) CA P.|NO : CE133, CE528, CE976 W/C NO : 1 - 9 FORM|: SIZE : NET : 8,195LBS GROSS : 8,284LBS MADE|IN KOREA",TGBU3186229,KRAQ63633
2024-09-14,ONEYSELEJ0552700,,044E,"Master Bill",ONEY,9704635,"YM WORTH",2024-09-13,"LONG BEACH, CALIFORNIA",,"PUSAN SOUTH KOREA",,PUSAN,"59 CTN","18,277","Container Yard","NEW WORLD SHIPPING CO., LTD.","41, CHEONGGYECHEON-RO, JONGNO-GU, S EOUL 03188 KR","USMX TRANSPORT, INC","1455 E. TROPICANA AVE. #275, LAS VE GAS NV 89119 US","USMX TRANSPORT, INC","1455 E. TROPICANA AVE. #275, LAS VE GAS NV 89119 US",,,"BRASS ROD",1,"DAECHANG LLOYDS, INC. NORTHWOOD, OH P.O NO :|W/C NO : FORM : SIZE : NET : LBS GROSS : LB|MADE IN KOREA",FTAU1321469,KRAQ61787
2024-09-14,ONEYSELEJ0552700,ONEYSELEJ0552A01,044E,"House Bill",ONEY,9704635,"YM WORTH",2024-09-13,"LONG BEACH, CALIFORNIA",,"PUSAN SOUTH KOREA",,PUSAN,"59 CTN","18,277","Container Yard","DAECHANG CO., LTD.","1292-4 JEONGWANG-DONG, SIHEUNG-SI, SIHEUNG-SI 02331 KR","DAECHANG LLOYDS,INC.","4482 BARRANCA PKWY STE. 232 IRVINE, IRVINE CA 92604 US","DAECHANG LLOYDS,INC.","4482 BARRANCA PKWY STE. 232 IRVINE, IRVINE CA 92604 US",,,"BRASS ROD",1,"DAECHANG LLOYDS, INC. NORTHWOOD, OH P.O NO :|W/C NO : FORM : SIZE : NET : LBS GROSS : LB|MADE IN KOREA",FTAU1321469,KRAQ61787
2024-09-14,ONEYSELEJ0556400,,044E,"Master Bill",ONEY,9704635,"YM WORTH",2024-09-13,"LONG BEACH, CALIFORNIA",,"PUSAN SOUTH KOREA",,PUSAN,"38 CTN","16,585","Container Yard","NEW WORLD SHIPPING CO., LTD.","41, CHEONGGYECHEON-RO, JONGNO-GU SE OUL 03188 KR","USMX TRANSPORT, INC.","1455 E. TROPICANA AVE. #275 LAS VEG AS NV 89119 US","USMX TRANSPORT, INC.","1455 E. TROPICANA AVE. #275 LAS VEG AS NV 89119 US",,,"BRASS ROD",1,"DAECHANG LLOYDS, INC. NORTHWOOD, OH P.O NO :|W/C NO : FORM : SIZE : NET : LBS GROSS : LB|MADE IN KOREA",TRHU2748768,KRAQ61753
2024-09-14,ONEYSELEJ0556400,ONEYSELEJ0556A01,044E,"House Bill",ONEY,9704635,"YM WORTH",2024-09-13,"LONG BEACH, CALIFORNIA",,"PUSAN SOUTH KOREA",,PUSAN,"38 CTN","16,585","Container Yard","DAECHANG CO., LTD.","1292-4 JEONGWANG-DONG, SIHEUNG-SI, SIHEUNG 02331 KR","DAECHANG LLOYDS,INC.","4482 BARRANCA PKWY STE. 232 IRVINE, IRVINE CA 92604 US","DAECHANG LLOYDS,INC.","4482 BARRANCA PKWY STE. 232 IRVINE, IRVINE CA 92604 US",,,"BRASS ROD",1,"DAECHANG LLOYDS, INC. NORTHWOOD, OH P.O NO :|W/C NO : FORM : SIZE : NET : LBS GROSS : LB|MADE IN KOREA",TRHU2748768,KRAQ61753
2024-09-14,MAEU243631829,,434N,"Master Bill",MAEU,9359002,"GERNER MAERSK",2024-09-13,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,BUSAN,"42 PKG","18,566","Container Yard","NEW WORLD SHIPPING CO.,LTD","41, CHEONGGYECHEON-RO SEOUL 03188 8227745811","USMX TRANSPORT INC","1455 E. TROPICANA AVE. #275, LAS VEGAS, NV 89119 USA","USMX TRANSPORT INC","1455 E. TROPICANA AVE. #275, LAS VEGAS, NV 89119 USA",,,"BRASS ROD HS CODE: 740721",1,"DAECHANG LLOYDS, INC. LONG BEACH(L.|A.)CA P.O NO : 5400726864 W/C NO :|1 - 42 FORM : SIZE : NET : 38,07|3LBS GROSS : 40,930LBS",MRKU7090592,KR0434226
2024-09-14,MAEU243631829,MAEU243859155,434N,"House Bill",MAEU,9359002,"GERNER MAERSK",2024-09-13,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,BUSAN,"42 PKG","18,566","Container Yard","DAECHANG CO LTD","1292-4 JEONGWANG-DONG SIHEUNG-SI KYUNGGI-DO KOREA 8227745811","DAECHANG LLOYDS INC","4482 BARRANCA PKWY STE 232 IRVINE CA 92604","DAECHANG LLOYDS INC","4482 BARRANCA PKWY STE 232 IRVINE CA 92604",,,"BRASS ROD HS CODE: 740721",1,"DAECHANG LLOYDS, INC. LONG BEACH(L.|A.)CA P.O NO : 5400726864 W/C NO :|1 - 42 FORM : SIZE : NET : 38,07|3LBS GROSS : 40,930LBS",MRKU7090592,KR0434226
2024-09-14,MAEU243631992,,434N,"Master Bill",MAEU,9359002,"GERNER MAERSK",2024-09-13,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,BUSAN,"40 PKG","17,495","Container Yard","NEW WORLD SHIPPING CO.,LTD","41, CHEONGGYECHEON-RO SEOUL 03188 8227745811","USMX TRANSPORT INC","1455 E. TROPICANA AVE. #275, LAS VEGAS, NV 89119 USA","USMX TRANSPORT INC","1455 E. TROPICANA AVE. #275, LAS VEGAS, NV 89119 USA",,,"BRASS ROD HS CODE: 740721",1,"DAECHANG LLOYDS, INC. LONG BEACH(L.|A.)CA P.O NO : 5550065800 W/C NO :|1 - 40 FORM : SIZE : NET : 38,34|9LBS GROSS : 38,570LBS",MRKU8040847,KR0434250
2024-09-14,MAEU243631992,MAEU243859038,434N,"House Bill",MAEU,9359002,"GERNER MAERSK",2024-09-13,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,BUSAN,"40 PKG","17,495","Container Yard","DAECHANG CO., LTD","1292-4 JEONGWANG-DONG, SIHEUNG-SI, KYUNGGI-DO, KOREA 8227745811","DAECHANG LLOYDS,INC.","4482 BARRANCA PKWY STE. 232 IRVINE, CA 92604","DAECHANG LLOYDS,INC.","4482 BARRANCA PKWY STE. 232 IRVINE, CA 92604",,,"BRASS ROD HS CODE: 740721",1,"DAECHANG LLOYDS, INC. LONG BEACH(L.|A.)CA P.O NO : 5550065800 W/C NO :|1 - 40 FORM : SIZE : NET : 38,34|9LBS GROSS : 38,570LBS",MRKU8040847,KR0434250
2024-09-14,MAEU243681535,,434N,"Master Bill",MAEU,9359002,"GERNER MAERSK",2024-09-13,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,BUSAN,"40 PKG","18,008","Container Yard","NEW WORLD SHIPPING CO.,LTD","41, CHEONGGYECHEON-RO SEOUL 03188 8227745811","USMX TRANSPORT INC","1455 E. TROPICANA AVE. #275, LAS VEGAS, NV 89119 USA","USMX TRANSPORT INC","1455 E. TROPICANA AVE. #275, LAS VEGAS, NV 89119 USA",,,"BRASS ROD HS CODE: 740721",1,"DAECHANG LLOYDS, INC. LONG BEACH(L.|A.)CA P.O NO : 5550065301 W/C NO :|1 - 40 FORM : SIZE : NET : 39,48|3LBS GROSS : 39,701LBS",MRKU9472059,KR0434392
2024-09-14,MAEU243681535,MAEU243849526,434N,"House Bill",MAEU,9359002,"GERNER MAERSK",2024-09-13,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,BUSAN,"40 PKG","18,008","Container Yard","DAECHANG CO., LTD.","1292-4 JEONGWANG-DONG, SIHEUNG-SI, KYUNGGI-DO, KOREA 8227745811","DAECHANG LLOYDS,INC.","4482 BARRANCA PKWY STE. 232 IRVINE, CA 92604","DAECHANG LLOYDS,INC.","4482 BARRANCA PKWY STE. 232 IRVINE, CA 92604",,,"BRASS ROD HS CODE: 740721",1,"DAECHANG LLOYDS, INC. LONG BEACH(L.|A.)CA P.O NO : 5550065301 W/C NO :|1 - 40 FORM : SIZE : NET : 39,48|3LBS GROSS : 39,701LBS",MRKU9472059,KR0434392
2024-09-12,MEDUH6267478,,433A,"In-bond Automated",MEDU,9281279,"MSC LISA",2024-09-11,"NEWARK, NEW JERSEY","CHICAGO, ILLINOIS, INCLUDING O HARE INTERNATIONAL AIRPORT","HAIFA ISRAEL",,HAIFA,"35 PKG","15,770","House to House",,,"FINKELSTEIN METALS USA INC","2638 UNITED LN ELK GROVE VILLAGE IL 60007-6821 UNI","FINKELSTEIN METALS USA INC","2638 UNITED LN ELK GROVE VILLAGE IL 60007-6821 UNI",,,"35 PACKAGES AS FOLLOWS 23 PACKAGES OF C360 BR ASS ROD . H.S. CODE :7407.21 + 12 PACKAGES OF C630 AL BRASS ROD. H.S. CODE :7407.29 R 0892 4070000062 EX24000035 H.S.#740721000 CNEE CON TINUE: CONTACT:MIKE DARLIN G",1,"NO MARKS",DFSU3130470,HLD1533055
2024-09-11,ZIMUHAI80111733,,3W,"Master BOL w/in-bond",ZIMU,9973688,MACKENZIE,2024-09-10,"LONG BEACH, CALIFORNIA","SEATTLE, WASHINGTON","YANTIAN CHINA (MAINLAND)",,HAIPHONG,"786 PKG","13,142","Container Station","ECU WORLDWIDE HAIPHONG","3RD FLOOR, PHONG LAN BUILDING NO. 20 DINH TIEN HOANG, HOANG VAN THU HONG BANG DISTRICT HAI PHONG CITY, VIETNAM VIETNAM #","ECU WORLDWIDE","LOS ANGELES, CA - USA 161 WEST VICTORIA STREET, SUITE 200 , CA 90805 USA LONG BEACH 90805 ##","ECU WORLDWIDE","LOS ANGELES, CA - USA 161 WEST VICTORIA STREET, SUITE 200 , CA 90805 USA LONG BEACH 90805 ##",,,"COMPUTER MOUSE HS CODE: 84716040,84716041 HBL NO:HANA46211 SCAC: DMAL ETHERNET CABLE SCAC CODE: PUSJ HBL: S2400608616 HS CODE: 854442 BRASS ROD (1) AMS HBL NO: HPHSEA00782 SCAC C ODE: ECUW HS CODE: 740721 BRASS ROD (1) AMS HBL NO: HPHHOU00824 SCAC CODE: ECUW HS/NCM: 7 40721 WOMEN'S SHOES HBL NUMBER: 00002772947A",1,N/M,BSIU9705149,A4241131951
2024-09-11,ZIMUHAI80111733,ECUWHPHHOU00824,3E,"House Bill",ECUW,9973688,MACKENZIE,2024-09-10,"LONG BEACH, CALIFORNIA",,"YANTIAN CHINA (MAINLAND)",,"HAI PHONG","5 PKG","1,435","Container Station",,,,,,,,,"BRASS ROD (1)",1,MARKS:US002853,BSIU9705149,A4241131951
2024-09-11,ZIMUHAI80111733,ECUWHPHSEA00782,3E,"House Bill",ECUW,9973688,MACKENZIE,2024-09-10,"LONG BEACH, CALIFORNIA",,"YANTAI CHINA (MAINLAND)",,"HAI PHONG","2 PKG","1,092","Container Station",,,,,,,,,"BRASS ROD (1)",1,US002853,BSIU9705149,A4241131951
2024-09-10,SMLMSEL4L8691400,,2405E,"Master Bill",SMLM,9312755,"SM LONG BEACH",2024-09-09,"PORTLAND, OREGON",,"PUSAN SOUTH KOREA",,BUSAN,"40 PKG","17,813","Container Yard","NEW WORLD SHIPPING CO., LTD","41, CHEONGGYECHEON-RO, JONGNO-GU, SEOUL,03188 REPUBLIC OF KOREA (YP BLDG., 11F).","USMX TRANSPORT, INC.","1455 E. TROPICANA AVE. #275, LAS VEGAS, NV 89119 USA","USMX TRANSPORT, INC.","1455 E. TROPICANA AVE. #275, LAS VEGAS, NV 89119 USA",,,"BRASS ROD",1,"NO MARKS",SMCU2017981,SM724913
